TRACT,CTNAME,LICO_AT_ALL,Unemployment_Rate,LONE_PARENT,LONE_PARENT_F,LONE_PARENT_M,TOTAL_FAMILIES,POPULATION,COL16,IMMIGRANTS,IMM_1981,IMM_81_TO_90,IMM_91_00,IMM_01_TO_10,IMM_11_TO16
5370001.01,1.01,9.8,4.2,120,95,25,630,2190,1580,600,265,40,135,110,45
5370001.02,1.02,11.6,6.9,360,305,50,1505,5225,3700,1495,385,255,365,370,125
5370001.04,1.04,11,5.4,365,315,50,1795,6175,4085,2035,665,240,480,505,145
5370001.05,1.05,10.5,8.7,265,230,30,1445,5160,3155,1970,540,320,460,495,150
5370001.06,1.06,8.7,7,260,215,45,1500,5045,3465,1570,495,280,320,335,140
5370001.07,1.07,12.8,5.5,300,260,45,1095,3560,2465,1030,400,85,170,315,60
5370001.08,1.08,7.9,6.5,345,295,50,1890,6530,4380,2135,575,395,560,450,150
5370001.09,1.09,10.3,6.3,280,250,30,1270,4635,3045,1565,285,285,335,550,105
5370002.01,2.01,7.5,5.4,235,190,45,1460,5080,3550,1485,445,315,265,405,50
5370002.03,2.03,10.4,11,235,195,35,930,2925,1960,935,445,65,200,175,60
5370002.04,2.04,10.6,8.8,280,245,35,1370,4775,2955,1765,655,205,330,410,165
5370002.05,2.05,5.3,6.1,280,225,65,2060,7435,4905,2470,705,385,525,755,100
5370002.06,2.06,6,7.9,115,95,20,965,3450,2240,1180,550,200,185,205,40
5370003.01,3.01,9.9,6.6,265,210,55,1390,4840,3355,1400,595,165,210,245,185
5370003.02,3.02,8.8,9.2,235,195,35,965,3200,2245,935,390,110,240,105,90
5370003.03,3.03,16.3,12.4,235,200,30,940,3200,2000,1190,480,55,225,330,95
5370003.04,3.04,17.4,9.4,495,405,90,1685,5865,3975,1725,660,180,315,425,150
5370004.01,4.01,16.3,13.1,260,215,40,925,3345,2300,1010,390,60,105,275,180
5370004.02,4.02,15.9,7.2,345,290,50,1205,4080,2890,1175,400,155,215,285,130
5370005.01,5.01,12.9,6.9,360,290,65,1705,5935,4245,1650,730,185,305,320,100
5370005.02,5.02,10.4,8.4,285,245,40,1125,3830,2990,835,335,100,135,185,85
5370005.03,5.03,9.7,7.9,220,185,40,1170,3825,2620,1195,695,110,220,155,15
5370006.00,6,9.6,7.1,315,250,70,1355,4895,3970,910,375,145,135,145,120
5370007.00,7,13,7.6,195,155,40,955,3550,2975,575,290,55,60,95,80
5370008.00,8,11.7,6.4,120,90,30,605,2095,1625,470,240,60,100,60,15
5370009.00,9,19.3,9,275,220,50,1010,3720,2655,1060,420,190,175,175,100
5370010.00,10,9.6,4.7,225,175,45,900,3005,2350,650,295,60,100,120,75
5370011.00,11,10.2,7.3,130,105,25,640,2185,1640,520,245,25,40,170,40
5370012.00,12,30.2,14.5,105,90,10,340,1500,930,340,55,25,105,125,30
5370013.00,13,7.5,5.6,135,95,35,820,2800,2215,575,250,65,110,120,35
5370014.00,14,5.2,4.7,125,90,35,820,2645,2020,605,305,60,120,95,30
5370015.00,15,5.8,3.6,55,45,10,460,1665,1295,365,225,50,30,50,15
5370016.00,16,3.1,4.3,10,10,5,140,500,400,105,40,10,30,25,0
5370017.00,17,4.5,4.2,105,90,20,1000,3475,2835,605,330,65,110,80,30
5370018.00,18,,,,,,,,,,,,,,
5370019.00,19,16.2,6.7,215,175,40,1045,4015,3090,805,280,55,125,160,180
5370020.00,20,8.3,5.8,250,200,55,1155,3840,3225,580,295,70,60,95,55
5370021.00,21,12.6,8.2,315,265,45,1250,4525,3580,905,280,90,130,195,210
5370022.00,22,13.7,6.5,320,240,75,1285,4715,3860,780,360,85,60,135,140
5370023.00,23,6,5.6,110,90,20,675,2235,1855,380,185,40,55,90,10
5370024.00,24,7.2,8.4,145,125,20,750,2480,2040,430,285,30,20,35,60
5370025.00,25,6,6.7,175,130,40,850,2875,2465,395,195,60,80,35,20
