2016 Census Profiles Files / Profile of Census Tracts

"COL0","GEO UID"
"COL1","Census Tract name"
"COL2","Income - Total Sex / Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)"
"COL3","Income - Total Sex / Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%) / 0 to 17 years (%)"
"COL4","Income - Total Sex / Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%) / 0 to 17 years (%) / 0 to 5 years (%)"
"COL5","Income - Total Sex / Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%) / 18 to 64 years (%)"
"COL6","Income - Total Sex / Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%) / 65 years and over (%)"
"COL7","Labour - Total Sex / Unemployment rate"
"COL8","Family characteristics / Total number of census families in private households - 100% data / Total lone-parent families by sex of parent"
"COL9","Family characteristics / Total number of census families in private households - 100% data / Total lone-parent families by sex of parent / Female parent"
"COL10","Family characteristics / Total number of census families in private households - 100% data / Total lone-parent families by sex of parent / Male parent"
"COL11","Family characteristics / Total number of census families in private households - 100% data / Total couple families"
"COL12","Family characteristics / Total number of census families in private households - 100% data / Total couple families / Married couples"
"COL13","Family characteristics / Total number of census families in private households - 100% data / Total couple families / Common-law couples"
"COL14","Family characteristics / Total number of census families in private households - 100% data"
"COL15","Immigration - Total Sex / Total - Immigrant status and period of immigration for the population in private households - 25% sample data"
"COL16","Immigration - Total Sex / Total - Immigrant status and period of immigration for the population in private households - 25% sample data / Non-immigrants"
"COL17","Immigration - Total Sex / Total - Immigrant status and period of immigration for the population in private households - 25% sample data / Immigrants"
"COL18","Immigration - Total Sex / Total - Immigrant status and period of immigration for the population in private households - 25% sample data / Immigrants / Before 1981"
"COL19","Immigration - Total Sex / Total - Immigrant status and period of immigration for the population in private households - 25% sample data / Immigrants / 1981 to 1990"
"COL20","Immigration - Total Sex / Total - Immigrant status and period of immigration for the population in private households - 25% sample data / Immigrants / 1991 to 2000"
"COL21","Immigration - Total Sex / Total - Immigrant status and period of immigration for the population in private households - 25% sample data / Immigrants / 2001 to 2010"
"COL22","Immigration - Total Sex / Total - Immigrant status and period of immigration for the population in private households - 25% sample data / Immigrants / 2011 to 2016"
"COL23","Immigration - Total Sex / Total - Immigrant status and period of immigration for the population in private households - 25% sample data / Immigrants / 2001 to 2010 / 2001 to 2005"
"COL24","Immigration - Total Sex / Total - Immigrant status and period of immigration for the population in private households - 25% sample data / Immigrants / 2001 to 2010 / 2006 to 2010"

"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24"

5370000.00,0000.00,10.40,13.10,14.20,10.60,6.50,6.60,37470.00,30090.00,7380.00,173360.00,147785.00,25570.00,210825.00,734885.00,550510.00,177070.00,70410.00,22015.00,31045.00,36180.00,17420.00,17900.00,18280.00
5370001.01,0001.01,9.80,15.50,14.30,8.80,7.10,4.20,120.00,95.00,25.00,510.00,445.00,70.00,630.00,2190.00,1580.00,600.00,265.00,40.00,135.00,110.00,45.00,50.00,60.00
5370001.02,0001.02,11.60,20.30,19.70,9.30,4.90,6.90,360.00,305.00,50.00,1145.00,980.00,160.00,1505.00,5225.00,3700.00,1495.00,385.00,255.00,365.00,370.00,125.00,250.00,120.00
5370001.04,0001.04,11.00,20.20,21.60,8.70,4.00,5.40,365.00,315.00,50.00,1430.00,1310.00,120.00,1795.00,6175.00,4085.00,2035.00,665.00,240.00,480.00,505.00,145.00,270.00,235.00
5370001.05,0001.05,10.50,17.10,19.20,8.90,5.10,8.70,265.00,230.00,30.00,1180.00,1085.00,100.00,1445.00,5160.00,3155.00,1970.00,540.00,320.00,460.00,495.00,150.00,230.00,265.00
5370001.06,0001.06,8.70,16.40,17.20,7.50,3.10,7.00,260.00,215.00,45.00,1235.00,1140.00,95.00,1500.00,5045.00,3465.00,1570.00,495.00,280.00,320.00,335.00,140.00,200.00,135.00
5370001.07,0001.07,12.80,23.40,25.00,10.80,2.00,5.50,300.00,260.00,45.00,790.00,650.00,145.00,1095.00,3560.00,2465.00,1030.00,400.00,85.00,170.00,315.00,60.00,70.00,250.00
5370001.08,0001.08,7.90,14.30,15.50,6.30,4.00,6.50,345.00,295.00,50.00,1545.00,1420.00,130.00,1890.00,6530.00,4380.00,2135.00,575.00,395.00,560.00,450.00,150.00,205.00,240.00
5370001.09,0001.09,10.30,17.40,20.60,8.30,2.70,6.30,280.00,250.00,30.00,985.00,885.00,100.00,1270.00,4635.00,3045.00,1565.00,285.00,285.00,335.00,550.00,105.00,250.00,300.00
5370002.01,0002.01,7.50,10.70,11.40,7.30,1.80,5.40,235.00,190.00,45.00,1225.00,1115.00,115.00,1460.00,5080.00,3550.00,1485.00,445.00,315.00,265.00,405.00,50.00,240.00,165.00
5370002.03,0002.03,10.40,20.50,16.20,9.30,2.80,11.00,235.00,195.00,35.00,700.00,625.00,75.00,930.00,2925.00,1960.00,935.00,445.00,65.00,200.00,175.00,60.00,85.00,90.00
5370002.04,0002.04,10.60,18.50,18.50,9.30,4.30,8.80,280.00,245.00,35.00,1085.00,985.00,105.00,1370.00,4775.00,2955.00,1765.00,655.00,205.00,330.00,410.00,165.00,230.00,185.00
