UNIQUEID,BUSNAME,Class,LATITUDE,LONGITUDE
14753461,KFC,Chicken,44.092401,-79.131748
14753529,KFC,Chicken,43.838035,-79.087173
14753545,KFC,Chicken,43.870544,-79.72534
14753560,KFC,Chicken,43.592269,-79.639204
14753594,KFC,Chicken,43.666233,-79.732853
14753677,KFC,Chicken,43.556317,-79.643923
14753768,KFC,Chicken,43.837102,-79.088797
14753818,KFC,Chicken,43.865442,-79.038676
14753859,KFC,Chicken,43.524223,-79.683391
14753917,KFC,Chicken,43.635644,-79.596324
14753933,KFC,Chicken,43.693347,-79.752184
14754048,KFC,Chicken,43.71731,-79.723459
14754063,KFC,Chicken,43.722517,-79.786592
14754378,KFC,Chicken,43.584142,-79.611813
14754493,KFC,Chicken,43.716158,-79.634972
14754550,KFC,Chicken,43.574728,-79.656728
14754568,KFC,Chicken,43.735229,-79.708099
14754667,KFC,Chicken,43.599171,-79.595199
14797583,KFC,Chicken,44.007752,-79.469643
14797591,KFC,Chicken,44.225278,-79.464679
14797617,KFC,Chicken,43.822166,-79.313946
14797674,KFC,Chicken,43.724085,-79.30083
14797732,KFC,Chicken,43.873158,-79.261595
14797815,KFC,Chicken,43.78331,-79.570853
14797997,KFC,Chicken,43.886153,-79.440793
14798102,KFC,Chicken,43.709424,-79.475462
14798185,KFC,Chicken,43.758775,-79.27855
14798227,KFC,Chicken,43.639022,-80.026296
14798292,KFC,Chicken,43.725825,-79.417132
14798334,KFC,Chicken,43.720504,-79.511225
14798359,KFC,Chicken,43.742479,-79.308619
14798367,KFC,Chicken,44.058005,-79.481254
14798391,KFC,Chicken,43.776098,-79.34754
14798409,KFC,Chicken,43.722734,-79.303016
14798433,KFC,Chicken,44.145046,-79.878962
14798466,KFC,Chicken,43.756991,-79.519136
14798474,KFC,Chicken,43.715375,-79.50721
14798482,KFC,Chicken,43.832753,-79.268082
14798565,KFC,Chicken,43.491647,-79.65067
14798581,KFC,Chicken,43.764253,-79.398325
14798607,KFC,Chicken,43.751456,-79.54499
14798649,KFC,Chicken,43.734876,-79.25619
14798706,KFC,Chicken,43.787475,-79.32886
14798714,KFC,Chicken,43.720573,-79.237535
14798862,KFC,Chicken,43.757877,-79.234119
14798870,KFC,Chicken,43.693554,-79.277461
14798904,KFC,Chicken,43.77995,-79.30235
14798979,KFC,Chicken,43.921284,-80.087746
14799043,KFC,Chicken,43.785141,-79.280066
14799191,KFC,Chicken,43.779577,-79.365455
14799290,KFC,Chicken,43.779212,-79.138801
14799373,KFC,Chicken,43.791871,-79.418637
14799407,KFC,Chicken,43.595099,-79.731599
14799456,KFC,Chicken,43.795854,-79.419623
14799472,KFC,Chicken,44.06245,-79.447115
14799571,KFC,Chicken,43.715498,-79.447422
14799779,KFC,Chicken,43.859339,-79.434392
15992498,KFC,Chicken,43.632675,-79.554698
15992506,KFC,Chicken,43.653224,-79.379749
15992555,KFC,Chicken,43.775465,-79.25407
15992563,KFC,Chicken,43.648891,-79.379615
15992605,KFC,Chicken,43.810831,-79.27096
15992647,KFC,Chicken,43.649279,-79.421822
