GTA06,Population,Worked in 2010_Full-time,Worked in 2010_Part-time,Worked at home,Avg Pop Density,Avg Median Age,Family Size 2,Family Size 3,Family Size 4,Family Size 5+,Avg Median income,Avg Average income,15+_No certificate/diploma/degree,15+_HS diploma/equivalent,15+_Post HS diploma,15+_Apprentice/trades certificate,15+_College certificate/diploma,15+_University <bachelor's,15+_University bachelor's+,15+_University_Bachelor's degree,15+_University_Above bachelor's,In labour force,In labour force_Employed,In labour force_Unemployed,Not in labour force,Avg Participation rate,Avg Employment rate,Avg Unemployment rate,Mode to work_Drove car/truck/van,Mode to work_Rode in car/truck/van,Mode to work_Public transit,Mode to work_Walked,Mode to work_Bicycle,Mode to work_Other methods,Avg Median commuting duration
5030,1786.072134,783.028295,219.614474,115.321499,47.396245,42.105215,232.764726,110.675666,125.060777,57.599799,31775.7651,40535.5237,410.887568,491.432864,702.659278,155.240641,291.895483,67.151846,188.118907,109.456511,78.785234,1043.138635,1002.234433,37.346485,561.594753,65.152097,62.617202,3.559069,757.505011,62.118615,19.153921,19.133676,0.368513,13.680574,25.140344
5077,2306.764323,939.299306,304.244834,67.640261,743.543331,43.980685,323.918054,159.206692,157.417028,56.983209,32225.26305,43709.85919,317.748842,534.875526,1072.900018,175.599965,481.793185,58.788737,352.353583,213.500262,140.291169,1303.499502,1239.21958,59.862453,619.150378,68.442928,65.093751,4.540387,998.198373,74.383204,37.92159,34.927672,4.314705,0.004758,20.899864
5071,1283.306006,503.379718,164.79472,26.971193,1708.158112,44.999587,155.807418,92.883509,101.872462,32.95977,30027.24834,43277.6069,206.750666,347.568791,558.801346,92.886192,244.193768,23.972261,194.753082,116.851643,79.39946,701.133176,663.680374,35.954574,408.991584,63.100288,59.700414,5.09978,522.852343,46.442167,23.969372,23.969372,4.494064,0.000825,21.000592
5108,837.494216,355.342971,113.802199,32.514982,453.016436,42.999973,135.866026,54.578794,46.450246,19.741333,34347.02059,44130.01464,92.900099,156.768945,418.050064,67.352341,192.767557,27.869953,128.898976,78.965089,49.933887,491.208859,469.145043,19.741333,176.510254,73.599988,70.299989,4.000007,386.696399,23.224923,11.612483,9.28996,0,0.000055,20.800014
5177,2331.015478,1040.880421,356.111077,223.817908,32.027543,41.489024,313.827976,140.13129,143.409306,90.661454,32474.68388,44911.90047,443.118174,573.536562,911.297253,162.295333,415.145707,57.575608,276.567427,178.051598,95.701278,1442.146403,1393.004405,46.327321,485.663086,74.748431,72.173017,3.269534,1011.476379,92.136589,9.763842,46.060081,0.000449,0.001537,21.448312
5103,523.412442,0.21777,0.071897,0.03967,28.347967,44.000466,73.058524,24.846966,33.607269,21.91433,37382.04522,55294.21823,0.073869,0.111977,0.238656,0.032707,0.086004,0.014779,0.105233,0.056828,0.047915,0.300034,0.286768,0.012906,0.124467,70.282461,67.064056,4.613937,0.208179,0.017155,0.008266,0.010395,0.000518,0.000789,20.677127
5072,919.0307,0.048167,0.018767,0.010813,28.334184,43.999806,128.283218,43.616871,59.010115,38.485721,34176.44315,42602.82119,0.011229,0.024818,0.051763,0.008025,0.022709,0.00347,0.01756,0.011371,0.005944,0.068246,0.063858,0.004378,0.019565,77.81008,72.707191,6.474109,0.045964,0.004056,0.001206,0.001084,0,0,20.710791
5020,2934.010949,912.855084,295.025539,53.456537,247.691461,49.998299,579.345062,147.514149,151.790995,64.140893,39173.22474,42645.97895,412.587054,677.67864,1387.426565,220.192166,660.574819,94.062784,410.459113,254.399808,158.196653,1263.462078,1177.948685,85.513393,1216.367865,50.904244,47.50396,6.799969,1045.388447,47.034415,19.240833,0.001344,0,8.550735,20.600016
5027,145.806903,63.098351,24.757598,14.159258,28.791863,42.015743,18.594598,6.951816,8.268745,6.597616,34249.70932,42512.26369,13.939301,32.438567,68.833758,10.591854,30.131022,4.633247,23.476985,15.206943,7.941783,89.51735,83.571065,5.946285,25.694924,77.84687,72.650407,6.600393,60.178386,5.276796,1.650377,1.315632,0,0.002594,20.699804
5018,544.721803,236.120009,92.714318,53.150805,28.642796,42.000646,69.243463,25.963041,30.907269,24.723139,34240.39858,42512.01083,51.931573,121.160357,257.154299,39.562515,112.507508,17.308494,87.775682,56.868213,29.671561,335.016959,312.764836,22.252123,95.22937,77.89782,72.697961,6.600016,225.002135,19.778312,6.180935,4.944029,0,0.000399,20.699993
5042,197.979584,85.824105,33.700565,19.321657,28.636423,42,25.163088,9.436158,11.233522,8.986817,34240,42512,18.872316,44.035405,93.462899,14.378908,40.890019,6.290772,31.903201,20.66968,10.784181,121.771374,113.683238,8.088136,34.599246,77.900002,72.699997,6.6,81.780037,7.189454,2.246704,1.797363,0,0,20.700001
5048,167.264769,72.281845,28.250077,16.028137,29.344943,41.99032,21.228322,8.020483,9.558295,7.559563,34278.90314,42526.84919,16.038447,37.136674,79.000885,12.140688,34.503305,5.342835,27.015637,17.443135,9.203189,102.460477,95.666854,6.793527,29.718702,77.782311,72.593639,6.596169,68.989532,6.063216,1.963672,1.496525,0,0.013464,20.698463
5038,986.495651,306.932463,99.196056,17.970486,247.809725,49.999929,194.797473,49.597923,51.035566,21.564383,39173.95649,42645.99882,138.730317,227.862932,466.508069,74.037484,222.11242,31.627665,138.011692,85.538509,53.191985,424.817572,396.065116,28.752456,409.002554,50.90024,47.500222,6.799998,351.498536,15.81389,6.469309,0.000025,0,2.875234,20.600001
5047,572.470544,178.340291,58.136264,10.751452,255.786451,49.863242,111.728402,28.88796,29.732744,12.74297,38453.88571,42376.68811,81.798652,131.51824,270.101564,42.933954,127.111281,18.460413,81.200094,50.40775,31.193098,247.492823,230.837169,16.625213,236.361802,51.161512,47.781393,6.693201,203.011127,9.734747,4.246257,0.425537,0,1.714235,20.577933
5066,6150.637464,2482.666618,766.370858,185.410218,3096.354741,38.085904,567.682573,385.542892,490.396646,265.179659,38320.69454,44233.77536,683.663088,1227.440667,2965.176918,440.648245,1151.222418,250.399364,1127.890931,622.10889,505.783641,3359.581846,3159.310766,200.232754,1521.720893,68.774254,64.681694,5.996724,2457.668505,250.356134,215.12261,30.461293,0,20.096,20.498569
5073,5026.157874,1970.198308,502.203258,152.983084,1706.669483,37.017219,485.47298,280.030161,439.809149,205.572049,41778.7692,55354.12422,463.127707,854.19633,2573.773318,164.566062,836.648136,203.637524,1368.927975,780.618543,588.308635,2609.253231,2478.784733,127.853728,1281.81533,67.112802,63.754722,4.985217,2000.621929,140.004248,103.660701,49.898131,0.000062,21.154952,20.49741
